time,Arr_CUHI_0,Arr_CUHI_0_JJA,Arr_CUHI_0_DJF,Arr_SUHI_0,Arr_SUHI_0_JJA,Arr_SUHI_0_DJF,Arr_CUHI_1,Arr_CUHI_1_JJA,Arr_CUHI_1_DJF,Arr_SUHI_1,Arr_SUHI_1_JJA,Arr_SUHI_1_DJF,Arr_CUHI_2,Arr_CUHI_2_JJA,Arr_CUHI_2_DJF,Arr_SUHI_2,Arr_SUHI_2_JJA,Arr_SUHI_2_DJF
2061,0.7403733730316162,0.8291814923286438,0.6690159440040588,1.2081284523010254,1.3601351976394653,1.1199415922164917,-1.2515883445739746,-1.3679603338241577,-0.9584357142448425,-3.9225246906280518,-4.386971473693848,-2.920825481414795,0.3913803994655609,0.45758238434791565,0.36348915100097656,-0.7636305689811707,-0.8424129486083984,-0.4599013030529022
2062,0.7496338486671448,0.8400934934616089,0.6627334356307983,1.242087721824646,1.4076769351959229,1.1615755558013916,-1.2545504570007324,-1.396966576576233,-0.8550302386283875,-3.9328131675720215,-4.450807571411133,-2.6569337844848633,0.39570140838623047,0.4549461603164673,0.368464857339859,-0.7674478888511658,-0.861400306224823,-0.36499643325805664
2063,0.7223172187805176,0.8003706932067871,0.6357700824737549,1.2112892866134644,1.3178106546401978,1.0194308757781982,-1.1960517168045044,-1.316328525543213,-1.0087522268295288,-3.7572429180145264,-4.214816570281982,-2.9977924823760986,0.36589720845222473,0.42090535163879395,0.304487407207489,-0.7842887043952942,-0.901046633720398,-0.6161627769470215
2064,0.7320778965950012,0.8179944753646851,0.6735734939575195,1.172871708869934,1.3215086460113525,1.0937541723251343,-1.2633116245269775,-1.3545020818710327,-1.0142525434494019,-3.9571759700775146,-4.383057117462158,-3.0059075355529785,0.35752275586128235,0.4251862168312073,0.33559703826904297,-0.9157945513725281,-0.995170533657074,-0.5864286422729492
2065,0.7431234121322632,0.8391150832176208,0.641928493976593,1.2068121433258057,1.4071292877197266,1.0613034963607788,-1.2769999504089355,-1.4064579010009766,-0.9213647246360779,-3.9727327823638916,-4.485146522521973,-2.8391566276550293,0.3612794280052185,0.42931801080703735,0.32042160630226135,-0.9217416644096375,-1.0091159343719482,-0.5814920663833618
2066,0.7143588066101074,0.8065189123153687,0.6449282169342041,1.1901732683181763,1.3355858325958252,1.0954114198684692,-1.222837209701538,-1.3645867109298706,-0.97310870885849,-3.808175802230835,-4.300873279571533,-2.8870301246643066,0.3338826894760132,0.3994947075843811,0.2938458025455475,-0.9173635244369507,-1.0209318399429321,-0.6299425363540649
2067,0.7355563640594482,0.810471773147583,0.6773220300674438,1.2267394065856934,1.3365516662597656,1.141435980796814,-1.2396531105041504,-1.3355296850204468,-0.9157727956771851,-3.867293119430542,-4.3146653175354,-2.818247079849243,0.3377971649169922,0.39533349871635437,0.3346746563911438,-0.9600343704223633,-1.0890978574752808,-0.5813158750534058
2068,0.7384945154190063,0.8282092213630676,0.6599946022033691,1.2308903932571411,1.4091346263885498,1.1277825832366943,-1.2377219200134277,-1.4199159145355225,-0.8627886772155762,-3.8795762062072754,-4.473342418670654,-2.6992273330688477,0.33983319997787476,0.3911840319633484,0.3312283456325531,-0.9837411046028137,-1.1240811347961426,-0.5570419430732727
2069,0.7501000761985779,0.8372533917427063,0.6788274049758911,1.2607630491256714,1.4122599363327026,1.1509130001068115,-1.2258350849151611,-1.3754453659057617,-0.9238921403884888,-3.8396191596984863,-4.35324239730835,-2.808011054992676,0.3456476032733917,0.4000229835510254,0.3266870975494385,-0.979092001914978,-1.1121753454208374,-0.6176941990852356
2070,0.7458236813545227,0.8418357968330383,0.6523227095603943,1.2443103790283203,1.4160821437835693,1.0933490991592407,-1.248761534690857,-1.3800890445709229,-0.9574277997016907,-3.9183013439178467,-4.409348964691162,-2.889249563217163,0.32690665125846863,0.398020476102829,0.28507065773010254,-1.071587324142456,-1.1753054857254028,-0.723925769329071
