time,Arr_TBOT_1,Arr_TBOT_1_JJA,Arr_TBOT_1_DJF,Arr_FSDS_1,Arr_FSDS_1_JJA,Arr_FSDS_1_DJF,Arr_FLDS_1,Arr_FLDS_1_JJA,Arr_FLDS_1_DJF,Arr_QBOT_1,Arr_QBOT_1_JJA,Arr_QBOT_1_DJF,Arr_PBOT_1,Arr_PBOT_1_JJA,Arr_PBOT_1_DJF,Arr_RAIN_1,Arr_RAIN_1_JJA,Arr_RAIN_1_DJF,Arr_SNOW_1,Arr_SNOW_1_JJA,Arr_SNOW_1_DJF
2049,18.900875091552734,24.155658721923828,12.992286682128906,192.5717315673828,216.87159729003906,147.83839416503906,359.017578125,388.72088623046875,328.8443298339844,0.010095521807670593,0.012284059077501297,0.007993330247700214,95482.4375,95346.6640625,95659.4765625,3.1806175684323534e-05,3.733522316906601e-05,2.7015161322196946e-05,1.147133957601909e-06,3.706962914407086e-08,3.4494330520828953e-06
2050,19.253767013549805,24.514415740966797,13.126447677612305,193.1451416015625,217.89450073242188,147.515625,360.5611877441406,390.81219482421875,329.28729248046875,0.010280884802341461,0.012613299302756786,0.008020780980587006,95530.375,95380.4375,95726.1171875,3.286104038124904e-05,3.9756727346684784e-05,2.6580366466077976e-05,1.209067022500676e-06,3.1599054040043484e-08,2.753103672148427e-06
2051,19.198566436767578,24.607892990112305,13.387091636657715,193.2205810546875,219.46063232421875,146.16949462890625,360.37115478515625,390.35015869140625,331.8847351074219,0.010237776674330235,0.012537213042378426,0.008253619074821472,95492.8515625,95368.5,95622.015625,3.2427185942651704e-05,3.661165465018712e-05,2.8616259442060255e-05,1.1184262120877975e-06,1.6513734379941525e-08,3.147102688672021e-06
2052,19.214975357055664,24.349889755249023,13.391548156738281,192.5554656982422,217.47117614746094,148.67575073242188,360.369873046875,390.13653564453125,328.6944885253906,0.010351254604756832,0.012743650004267693,0.008044944144785404,95508.328125,95354.390625,95606.359375,3.4902430343208835e-05,4.404775609145872e-05,2.7188469175598584e-05,1.0420121725474019e-06,3.672021620104715e-08,2.71780118055176e-06
2053,19.268404006958008,24.557453155517578,12.930096626281738,193.79287719726562,220.08441162109375,147.40228271484375,359.7525329589844,389.7919921875,328.0843200683594,0.01018370222300291,0.012459257617592812,0.007969812490046024,95499.7109375,95393.9921875,95675.6171875,3.255646879551932e-05,3.881703014485538e-05,2.7025693270843476e-05,1.0498534948055749e-06,4.051150881423382e-08,2.9357888706726953e-06
2054,19.36188507080078,24.77747344970703,13.16897964477539,193.24024963378906,218.91162109375,146.63790893554688,360.8992919921875,391.55731201171875,329.8545837402344,0.01033524889498949,0.012691998854279518,0.008013954386115074,95518.2421875,95393.8046875,95593.2890625,3.3182917832164094e-05,4.142575562582351e-05,2.848499752872158e-05,1.0244372106171795e-06,2.5900098066244936e-08,2.97810265692533e-06
2055,19.165658950805664,24.53878402709961,13.028515815734863,193.73388671875,219.33447265625,148.26678466796875,359.7303771972656,389.5232849121094,328.96527099609375,0.010091865435242653,0.012220494449138641,0.007990862242877483,95510.3515625,95385.3515625,95694.3203125,3.1132814910961315e-05,3.3779735531425104e-05,2.683162165340036e-05,1.201373152071028e-06,1.7925186668321658e-08,3.1448237223230535e-06
2056,19.368717193603516,24.94805145263672,12.491222381591797,193.73013305664062,220.17832946777344,147.49313354492188,361.29571533203125,392.4634094238281,326.1800231933594,0.010320360772311687,0.012804003432393074,0.007782451808452606,95483.53125,95364.6640625,95803.90625,3.416233084863052e-05,4.161414835834876e-05,2.5147688575088978e-05,1.1848593430840992e-06,3.679129889633259e-08,2.993552470798022e-06
2057,19.06504249572754,24.429414749145508,13.563445091247559,194.41477966308594,219.67527770996094,147.27024841308594,359.19195556640625,389.24871826171875,331.60504150390625,0.010088687762618065,0.012301369570195675,0.008212805725634098,95534.4921875,95329.7578125,95754.671875,3.160104461130686e-05,3.756625301321037e-05,2.7341766326571815e-05,1.0693296417230158e-06,3.4601992382476965e-08,3.2237564937531715e-06
2058,19.514007568359375,24.844038009643555,13.424825668334961,193.07272338867188,218.09523010253906,145.91122436523438,362.5315856933594,392.7728576660156,332.64532470703125,0.010409533977508545,0.0127148712053895,0.00822752621024847,95552.2109375,95376.28125,95694.5546875,3.370234844624065e-05,4.2591167584760115e-05,2.7781019525718875e-05,1.1055138884330518e-06,2.7189384965708996e-08,2.8565898446686333e-06
