time,Arr_TBUILD_2_C,Arr_TBUILD_2_JJA_C,Arr_TBUILD_2_DJF_C,Arr_HIA_U_2,Arr_HIA_U_2_JJA,Arr_HIA_U_2_DJF,Arr_APPAR_TEMP_U_2,Arr_APPAR_TEMP_U_2_JJA,Arr_APPAR_TEMP_U_2_DJF,Arr_SWBGT_U_2,Arr_SWBGT_U_2_JJA,Arr_SWBGT_U_2_DJF,Arr_HUMIDEX_U_2,Arr_HUMIDEX_U_2_JJA,Arr_HUMIDEX_U_2_DJF,Arr_DISCOIS_U_2,Arr_DISCOIS_U_2_JJA,Arr_DISCOIS_U_2_DJF
2045,22.534326171875023,26.307305908203148,19.074487304687523,20.794620513916016,26.96317481994629,14.006789207458496,18.960681915283203,25.785917282104492,11.363509178161621,21.291969299316406,25.89383316040039,16.38722038269043,22.904682159423828,30.5263671875,14.687847137451172,17.150108337402344,22.272930145263672,11.312739372253418
2046,22.505181884765648,25.865747070312523,18.916253662109398,20.952342987060547,26.85424041748047,13.65730094909668,19.060224533081055,25.666767120361328,11.059562683105469,21.422283172607422,25.93190574645996,16.146501541137695,23.08662986755371,30.510177612304688,14.29474925994873,17.205291748046875,22.149782180786133,11.07004451751709
2047,22.416558837890648,25.839929199218773,19.219140625000023,20.638317108154297,26.50697135925293,14.031596183776855,18.749452590942383,25.226028442382812,11.442497253417969,21.172584533691406,25.53830337524414,16.476896286010742,22.696378707885742,29.93148422241211,14.793691635131836,16.97719383239746,21.87680435180664,11.286998748779297
2048,22.638513183593773,26.114099121093773,18.855035400390648,21.11421775817871,27.23342514038086,13.98381519317627,19.208261489868164,25.931167602539062,11.321795463562012,21.55752182006836,26.078447341918945,16.367294311523438,23.280729293823242,30.768630981445312,14.653946876525879,17.26409912109375,22.32602882385254,11.319439888000488
2049,22.578302001953148,26.060815429687523,19.124688720703148,20.992177963256836,26.92823028564453,14.522184371948242,19.075780868530273,25.540613174438477,11.817322731018066,21.41331672668457,25.761737823486328,16.694547653198242,23.086692810058594,30.3013973236084,15.206795692443848,17.21260643005371,22.08758544921875,11.699014663696289
2050,22.701043701171898,26.331811523437523,18.942468261718773,21.42914581298828,27.397397994995117,14.586613655090332,19.511831283569336,26.090225219726562,12.027080535888672,21.718257904052734,26.159887313842773,16.791013717651367,23.58384132385254,30.930952072143555,15.370383262634277,17.54736328125,22.455760955810547,11.86618709564209
2051,22.638299560546898,26.347222900390648,19.220300292968773,21.307893753051758,27.3749942779541,14.94868278503418,19.434988021850586,26.135251998901367,12.355916976928711,21.656036376953125,26.158748626708984,17.07051658630371,23.48467254638672,30.94588279724121,15.818992614746094,17.49315643310547,22.512760162353516,12.149378776550293
2052,22.534509277343773,26.082452392578148,18.996820068359398,21.40635871887207,27.343381881713867,14.779152870178223,19.494121551513672,26.004507064819336,12.249452590942383,21.729780197143555,26.139272689819336,16.92812728881836,23.58768653869629,30.863759994506836,15.60566520690918,17.539634704589844,22.369033813476562,12.049479484558105
2053,22.590814208984398,26.247003173828148,18.867944335937523,21.30510902404785,27.307661056518555,14.341376304626465,19.460979461669922,26.00791358947754,11.693544387817383,21.652536392211914,26.079221725463867,16.623798370361328,23.488269805908203,30.822067260742188,15.086786270141602,17.515329360961914,22.42084312438965,11.65445613861084
2054,22.607873535156273,26.416131591796898,18.931909179687523,21.485294342041016,27.673593521118164,14.590310096740723,19.627567291259766,26.360260009765625,12.035948753356934,21.79264259338379,26.337732315063477,16.79071807861328,23.702726364135742,31.22845458984375,15.37166976928711,17.63224220275879,22.648540496826172,11.864625930786133
2055,22.568170166015648,26.212915039062523,19.117547607421898,21.18516731262207,27.17716407775879,14.525788307189941,19.307737350463867,25.84847068786621,11.86307430267334,21.537384033203125,25.91307830810547,16.699934005737305,23.306245803833008,30.582448959350586,15.220746040344238,17.39118194580078,22.317398071289062,11.70793628692627
